playerID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,AVG
adamshe01,95,337,39,88,8,6,0,18.0,4.0,2.0,22,24.0,0.0,2.0,3.0,0.0,5.0,0.26112759643916916
adamsji01,1,4,0,1,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
adamsjo01,1,2,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adamsjo02,44,10,0,3,1,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.3
adamska01,30,32,0,1,0,0,0,0.0,0.0,0.0,0,16.0,0.0,0.0,1.0,0.0,0.0,0.03125
adamsla01,117,137,30,36,5,1,7,26.0,11.0,0.0,14,47.0,0.0,1.0,1.0,1.0,4.0,0.26277372262773724
adamsma01,818,2336,290,609,127,6,116,388.0,4.0,4.0,159,616.0,16.0,12.0,0.0,16.0,45.0,0.2607020547945205
adamsmi01,11,6,1,2,0,1,0,1.0,0.0,0.0,0,4.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333
adamsmi02,100,118,27,23,5,0,3,9.0,2.0,1.0,32,29.0,0.0,2.0,0.0,0.0,2.0,0.19491525423728814
adamsmi03,410,2,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adamsre01,8,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adamsri01,11,23,1,4,0,0,0,0.0,0.0,0.0,4,5.0,0.0,0.0,0.0,0.0,0.0,0.17391304347826086
adamsri02,120,247,35,53,5,1,4,16.0,3.0,2.0,10,37.0,3.0,5.0,7.0,0.0,5.0,0.2145748987854251
adamsru01,286,884,125,218,46,7,17,113.0,15.0,5.0,85,118.0,2.0,5.0,8.0,11.0,14.0,0.24660633484162897
adamsry01,29,89,9,25,4,0,0,7.0,0.0,0.0,6,25.0,0.0,1.0,0.0,0.0,7.0,0.2808988764044944
adamssp01,1424,5557,844,1588,249,48,9,394.0,154.0,50.0,453,223.0,0.0,28.0,136.0,0.0,14.0,0.2857657009177614
adamssp02,180,395,61,101,16,5,0,38.0,5.0,10.0,38,50.0,0.0,2.0,12.0,0.0,0.0,0.25569620253164554
adamste01,574,78,2,4,1,0,0,2.0,0.0,0.0,7,41.0,0.0,0.0,12.0,1.0,1.0,0.05128205128205128
adamswi01,65,88,4,9,1,1,0,2.0,0.0,0.0,3,18.0,0.0,0.0,1.0,0.0,0.0,0.10227272727272728
adamswi02,25,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
adcocjo01,1959,6606,823,1832,295,35,336,1122.0,20.0,25.0,594,1059.0,55.0,17.0,52.0,35.0,223.0,0.2773236451710566
adcocna01,56,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
addisbo01,208,534,70,150,22,2,2,47.0,8.0,6.0,37,47.0,0.0,0.0,5.0,0.0,9.0,0.2808988764044944
adducji01,70,144,11,34,8,1,1,15.0,0.0,1.0,2,27.0,0.0,0.0,1.0,3.0,1.0,0.2361111111111111
adducji02,151,396,48,92,18,4,5,39.0,7.0,2.0,29,111.0,0.0,0.0,3.0,3.0,5.0,0.23232323232323232
addybo01,274,1231,227,341,36,13,1,167.0,35.0,17.0,20,9.0,0.0,0.0,0.0,0.0,0.0,0.2770105605199025
adenhni01,4,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
aderhmo01,106,262,36,70,7,3,3,32.0,3.0,1.0,19,29.0,0.0,0.0,0.0,0.0,1.0,0.26717557251908397
adkinde01,38,22,2,5,1,0,1,3.0,0.0,0.0,0,10.0,0.0,0.0,1.0,0.0,0.0,0.22727272727272727
adkindi01,3,7,2,1,0,0,0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285
adkindo01,6,12,1,2,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
adkingr01,76,116,9,21,3,3,0,6.0,1.0,0.0,6,26.0,0.0,1.0,10.0,0.0,0.0,0.1810344827586207
adkinhe01,1,5,1,2,0,0,0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.4
adkinjo01,119,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
adkinst01,5,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
adlemti01,43,50,2,7,3,0,0,5.0,0.0,0.0,0,21.0,0.0,0.0,5.0,0.0,0.0,0.14
adlesda01,106,256,9,43,3,1,1,11.0,0.0,0.0,18,80.0,5.0,2.0,2.0,1.0,9.0,0.16796875
adriaeh01,422,990,133,246,56,7,16,111.0,17.0,8.0,83,207.0,5.0,15.0,16.0,13.0,11.0,0.24848484848484848
afenitr01,45,79,4,15,2,2,0,7.0,0.0,0.0,5,32.0,0.0,0.0,1.0,1.0,1.0,0.189873417721519
affelje01,774,17,0,3,0,0,0,2.0,0.0,0.0,2,6.0,0.0,0.0,0.0,0.0,0.0,0.17647058823529413
agbaybe01,383,1091,145,299,57,6,39,156.0,16.0,16.0,139,246.0,7.0,15.0,1.0,8.0,31.0,0.27406049495875345
ageeto01,1129,3912,558,999,170,27,130,433.0,167.0,81.0,342,918.0,26.0,34.0,21.0,15.0,99.0,0.2553680981595092
agganha01,157,517,65,135,23,9,11,67.0,8.0,3.0,57,67.0,0.0,0.0,7.0,6.0,9.0,0.2611218568665377
aglerjo01,234,751,121,185,22,10,0,36.0,38.0,0.0,131,130.0,0.0,1.0,21.0,0.0,0.0,0.24633821571238348
agnewsa01,563,1537,105,314,41,14,2,98.0,29.0,10.0,102,216.0,0.0,25.0,47.0,0.0,0.0,0.20429407937540664
agostju01,543,20,0,2,0,0,0,0.0,0.0,0.0,1,7.0,0.0,0.0,1.0,0.0,0.0,0.1
agrazda01,15,22,0,2,0,0,0,2.0,0.0,0.0,0,9.0,0.0,0.0,1.0,1.0,0.0,0.09090909090909091
aguaylu01,568,1104,142,260,43,10,37,109.0,7.0,5.0,94,220.0,12.0,20.0,14.0,12.0,27.0,0.23550724637681159
aguilch01,149,230,26,53,13,2,3,16.0,2.0,2.0,16,61.0,1.0,0.0,2.0,0.0,3.0,0.23043478260869565
aguilje01,448,1143,161,293,53,2,63,215.0,0.0,0.0,130,339.0,4.0,13.0,0.0,21.0,40.0,0.2563429571303587
aguilri01,737,139,12,28,3,0,3,11.0,0.0,0.0,6,37.0,0.0,0.0,16.0,0.0,1.0,0.2014388489208633
aguirha01,447,388,14,33,7,1,0,21.0,1.0,0.0,14,236.0,0.0,0.0,24.0,1.0,4.0,0.08505154639175258
ahearch01,1,4,1,1,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
ahearpa01,4,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
ahmedni01,613,2014,248,475,102,19,55,231.0,25.0,18.0,149,410.0,11.0,12.0,11.0,23.0,51.0,0.2358490566037736
aikenwi01,774,2492,301,675,125,2,110,415.0,3.0,6.0,319,444.0,42.0,18.0,0.0,27.0,87.0,0.27086677367576245
aingeda01,211,665,57,146,19,4,2,37.0,12.0,5.0,37,128.0,2.0,4.0,12.0,3.0,16.0,0.21954887218045113
ainsmed01,1078,3048,299,707,108,54,22,317.0,86.0,16.0,263,336.0,0.0,12.0,99.0,0.0,0.0,0.23195538057742782
ainswku01,30,28,1,2,1,0,0,0.0,0.0,0.0,0,8.0,0.0,0.0,5.0,0.0,0.0,0.07142857142857142
aitchra01,34,59,4,10,0,0,0,2.0,0.0,0.0,9,17.0,0.0,0.0,3.0,0.0,0.0,0.1694915254237288
aitonge01,10,17,1,4,0,0,0,1.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705882
akejo01,13,52,1,10,0,1,0,2.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.19230769230769232
akerfda01,125,9,0,1,0,0,0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111
akerja01,496,92,3,7,2,0,0,4.0,0.0,0.0,1,51.0,0.0,1.0,10.0,0.0,1.0,0.07608695652173914
akersbi01,174,475,64,124,17,9,11,69.0,7.0,6.0,63,64.0,0.0,1.0,14.0,0.0,0.0,0.26105263157894737
akersje01,5,6,0,2,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
alanirj01,12,1,0,1,0,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
albagi01,3,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
albaljo01,66,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
albanjo01,6,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
alberan01,26,1,0,1,0,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
alberbu01,6,18,1,5,1,0,0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.2777777777777778
albercy01,4,7,0,0,0,0,0,0.0,0.0,0.0,2,3.0,0.0,0.0,1.0,0.0,0.0,0.0
albergu01,120,426,62,84,10,6,1,50.0,27.0,0.0,52,61.0,0.0,9.0,0.0,0.0,0.0,0.19718309859154928
alberha01,228,706,76,195,26,3,12,60.0,6.0,5.0,20,88.0,1.0,4.0,9.0,3.0,12.0,0.2762039660056657
alberjo01,27,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
alberma01,616,35,1,3,1,0,0,0.0,0.0,0.0,0,21.0,0.0,0.0,3.0,0.0,0.0,0.08571428571428572
albieoz01,375,1496,241,418,92,18,54,186.0,37.0,8.0,111,264.0,6.0,12.0,2.0,9.0,14.0,0.27941176470588236
albosed01,19,12,0,1,0,0,0,0.0,0.0,0.0,0,7.0,0.0,0.0,0.0,0.0,1.0,0.08333333333333333
albreed01,3,3,0,0,0,0,0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0
albrija01,41,99,9,23,4,0,2,5.0,1.0,0.0,10,11.0,0.0,0.0,3.0,0.0,2.0,0.23232323232323232
albural01,264,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
alburvi01,102,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
alcaljo01,2,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
alcalsa01,68,71,6,8,1,0,1,4.0,0.0,0.0,2,41.0,0.0,0.0,7.0,0.0,0.0,0.11267605633802817
alcanar01,167,428,51,81,15,3,11,39.0,14.0,8.0,24,150.0,0.0,2.0,3.0,2.0,6.0,0.18925233644859812
alcanis01,51,115,15,31,3,0,6,15.0,1.0,1.0,6,26.0,0.0,0.0,0.0,0.0,3.0,0.26956521739130435
alcanra01,13,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
alcansa01,46,70,2,5,1,0,0,4.0,0.0,0.0,2,54.0,0.0,1.0,3.0,0.0,0.0,0.07142857142857142
alcanvi01,79,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
alcarlu01,115,365,30,70,9,2,4,29.0,2.0,2.0,21,58.0,2.0,0.0,2.0,2.0,7.0,0.1917808219178082
alcocsc01,54,156,12,27,4,2,0,7.0,4.0,2.0,7,14.0,0.0,1.0,5.0,0.0,0.0,0.17307692307692307
alderda01,16,7,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
aldremi01,930,2147,277,565,104,9,41,271.0,19.0,18.0,314,381.0,29.0,5.0,14.0,18.0,43.0,0.2631578947368421
aldresc01,229,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
aldrico01,13,18,1,1,0,1,0,1.0,0.0,0.0,0,9.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555
aldrija01,62,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
aldrivi01,248,581,46,133,14,4,2,60.0,2.0,0.0,10,41.0,0.0,0.0,32.0,0.0,0.0,0.2289156626506024
alenoch01,118,320,34,67,11,3,2,34.0,3.0,0.0,31,35.0,0.0,1.0,4.0,0.0,7.0,0.209375
alexabo01,9,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
alexada01,662,2450,369,811,164,30,61,459.0,20.0,28.0,248,197.0,0.0,6.0,32.0,0.0,0.0,0.3310204081632653
alexado01,562,265,19,44,8,0,0,17.0,0.0,0.0,9,77.0,0.0,1.0,23.0,2.0,7.0,0.1660377358490566
alexaga01,432,1276,169,293,45,11,55,202.0,8.0,12.0,154,381.0,12.0,5.0,4.0,19.0,34.0,0.22962382445141066
alexage01,36,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
alexahu01,7,11,0,1,0,0,0,0.0,1.0,0.0,0,5.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091
alexama01,374,168,111,36,4,2,0,4.0,103.0,42.0,18,26.0,1.0,1.0,8.0,0.0,2.0,0.21428571428571427
alexama02,594,1271,166,293,50,12,15,115.0,37.0,10.0,86,276.0,7.0,7.0,19.0,4.0,17.0,0.23052714398111723
alexani01,20,69,2,9,0,0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.13043478260869565
alexape01,703,1810,154,378,60,13,11,163.0,3.0,5.0,77,276.0,0.0,2.0,88.0,0.0,0.0,0.20883977900552486
alexasc01,180,8,0,0,0,0,0,0.0,0.0,0.0,0,6.0,0.0,0.0,1.0,0.0,0.0,0.0
alexaty01,13,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
alexawa01,162,405,26,76,18,3,1,24.0,5.0,1.0,42,83.0,0.0,4.0,16.0,0.0,0.0,0.18765432098765433
alfarja01,7,11,1,2,0,0,0,0.0,0.0,0.0,0,5.0,0.0,0.0,1.0,0.0,1.0,0.18181818181818182
alfarjo01,273,898,91,239,36,3,33,108.0,7.0,4.0,44,333.0,9.0,28.0,0.0,3.0,16.0,0.2661469933184855
alfonan01,592,14,0,2,0,0,0,2.0,0.0,0.0,0,8.0,0.0,0.0,1.0,0.0,0.0,0.14285714285714285
alfoned01,1506,5385,777,1532,282,18,146,744.0,53.0,17.0,596,617.0,22.0,41.0,31.0,55.0,110.0,0.28449396471680594
alfonel01,193,591,44,142,24,3,17,67.0,1.0,2.0,17,158.0,9.0,9.0,4.0,3.0,17.0,0.24027072758037224
alforan01,33,55,6,8,1,0,1,2.0,3.0,0.0,3,23.0,0.0,1.0,0.0,0.0,0.0,0.14545454545454545
alicelu01,1341,3971,551,1031,189,53,47,422.0,81.0,50.0,500,624.0,26.0,48.0,49.0,45.0,74.0,0.25963233442457817
allanan01,512,1486,145,357,48,4,16,140.0,23.0,18.0,87,223.0,4.0,9.0,35.0,16.0,27.0,0.24024226110363392
allarbr01,19,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
allarko01,12,3,1,1,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.3333333333333333
allenau01,34,65,4,14,4,0,0,3.0,0.0,0.0,6,21.0,3.0,0.0,0.0,0.0,2.0,0.2153846153846154
allenbe01,1139,3404,357,815,140,21,73,352.0,13.0,16.0,370,424.0,52.0,8.0,24.0,17.0,60.0,0.23942420681551116
allenbo01,607,2216,338,534,77,45,14,306.0,53.0,0.0,297,221.0,0.0,13.0,6.0,0.0,0.0,0.24097472924187727
allenbo02,9,22,3,3,1,0,0,0.0,0.0,0.0,3,7.0,0.0,1.0,0.0,0.0,0.0,0.13636363636363635
allenbo03,3,3,1,1,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
allenbo04,204,31,0,4,1,0,0,0.0,0.0,0.0,1,16.0,0.0,0.0,2.0,0.0,0.0,0.12903225806451613
allenbr01,116,344,44,70,19,2,12,41.0,3.0,0.0,42,137.0,6.0,1.0,0.0,2.0,4.0,0.20348837209302326
allench01,267,851,102,229,44,8,14,84.0,15.0,13.0,63,173.0,2.0,4.0,5.0,5.0,23.0,0.2690951821386604
allenco01,481,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
allendi01,1749,6332,1099,1848,320,79,351,1119.0,133.0,52.0,894,1556.0,138.0,16.0,19.0,53.0,164.0,0.29185091598231205
allendu01,27,28,5,7,2,0,2,2.0,0.0,0.0,4,12.0,0.0,0.0,0.0,0.0,1.0,0.25
